CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13
2010-12-01,716.0,246.0,221.0,251.0,245.0,285.0,249.0,236.0,240.0,265.0,254.0,348.0,172.0
2011-01-01,332.0,69.0,82.0,81.0,110.0,90.0,82.0,86.0,104.0,102.0,124.0,45.0,
2011-02-01,316.0,58.0,57.0,83.0,85.0,74.0,80.0,83.0,86.0,95.0,28.0,,
2011-03-01,388.0,63.0,100.0,76.0,83.0,67.0,98.0,85.0,107.0,38.0,,,
2011-04-01,255.0,49.0,52.0,49.0,47.0,52.0,56.0,59.0,17.0,,,,
2011-05-01,249.0,40.0,43.0,36.0,52.0,58.0,61.0,22.0,,,,,
2011-06-01,207.0,33.0,26.0,41.0,49.0,62.0,19.0,,,,,,
2011-07-01,173.0,28.0,31.0,38.0,44.0,17.0,,,,,,,
2011-08-01,139.0,30.0,28.0,35.0,14.0,,,,,,,,
2011-09-01,279.0,56.0,78.0,34.0,,,,,,,,,
2011-10-01,318.0,67.0,30.0,,,,,,,,,,
2011-11-01,291.0,32.0,,,,,,,,,,,
2011-12-01,38.0,,,,,,,,,,,,
